L1,OBJECTID_1,hw_type,Corrected,Shape_Leng,angle,angle_abs,startX,midX,endX,startY,midY,endY
1,137,"0","1",874.199261058,0.0151481990345755,0.0151481990345755,745106.1008,745084.632762012,745084.9341,4046703.0308,4047139.0943991,4047576.1575
2,138,"0","1",1081.68854573,0.0165736283646208,0.0165736283646208,745587.6435,745325.647870433,745084.9341,4046621.0098,4047092.94432673,4047576.1575
3,139,"1","1",823.404015424,0.00793998892720776,0.00793998892720776,742671.9293,743018.848327996,743351.9098,4083421.9792,4083643.65477825,4083885.001
4,140,"0","1",933.447414211,-0.0149946476544235,179.985005352346,739645.0899,739502.162658171,739324.9434,4086919.7779,4086475.75866426,4086044.0053
5,141,"2","1",1435.37719955,0.0166329535973682,0.0166329535973682,741190.2597,740654.016749215,740126.6326,4057781.1571,4058257.57706978,4058744.2424
6,142,"1","1",1892.69478375,-0.0134800756753671,179.986519924325,738310.1293,739196.239884349,740023.6125,4081697.7723,4081369.62772765,4080911.3528
7,143,"1","1",414.939997992,-0.00325011868396873,179.996749881316,740462.5251,740647.1046,740831.6841,4080690.6132,4080595.8809,4080501.1486
8,144,"2","1",3094.17669795,-0.0384439908997906,179.9615560091,738000.515,739117.173496987,740113.4945,4081593.1574,4080525.07803412,4079351.1969
9,145,"0","1",2528.77068983,-0.0327098205719905,179.967290179428,737692.6172,738565.439347793,739339.3462,4081421.8144,4080509.50619198,4079513.9882
10,146,"0","1",2613.26432514,0.0354370491564047,0.0354370491564047,739340.9597,738450.569832274,738029.6297,4079456.5641,4080289.23731037,4081523.6816
11,147,"1","1",2403.24702494,-0.0389820591016768,179.961017940898,737359.7738,737271.480412055,736761.7279,4080335.8424,4079150.29169197,4078062.9436
12,148,"0","1",2051.46481158,0.0124767810454111,0.0124767810454111,736848.186,737820.515878501,738750.8927,4078010.3765,4078306.44450115,4078738.1095
13,149,"0","1",1096.57787598,0.00137918163123753,0.00137918163123753,737055.0696,737603.034365036,738147.1776,4078021.1262,4078034.25230224,4078101.5494
14,150,"0","1",763.999997925,-0.00143706923150524,179.998562930768,737092.9322,737472.68628771,737852.3232,4077614.9052,4077573.54299412,4077531.1217
15,151,"2","1",1746.48473651,0.00103838911842884,0.00103838911842884,736669.804,735796.939205116,734925.124,4078046.5014,4078067.67330523,4078107.0593
16,152,"0","1",1707.39146258,-0.0202321073358726,179.979767892664,738494.8038,737866.856230683,737268.4609,4077354.1812,4076783.03822178,4076175.5897
17,153,"1","1",2697.50921895,0.0104617153132841,0.0104617153132841,736402.9846,737693.462900798,739005.7822,4075194.5903,4075550.82425336,4075804.3362
18,154,"0","1",1643.66323773,0.00724672762744689,0.00724672762744689,741267.2284,740458.121403639,739691.6785,4083070.7925,4083203.18060308,4083493.5148
19,155,"0","1",1624.09728631,0.00548282330132358,0.00548282330132358,741287.6324,740487.360714104,739696.4206,4083193.8092,4083330.92758895,4083513.6379
20,156,"1","1",1381.99746652,0.0195540641967513,0.0195540641967513,741741.053,742069.500404134,742499.5551,4083983.7052,4084583.93888469,4085124.7446
21,157,"1","1",419.299798673,0.00715807783613355,0.00715807783613355,741905.1008,741920.451954913,741917.1098,4084375.676,4084583.68654201,4084793.3098
22,158,"0","1",1420.09617351,0.0233842418296658,0.0233842418296658,741060.1304,740870.439652326,740676.4606,4086483.9149,4087167.43993247,4087849.847
23,159,"0","1",1618.57662404,0.0272542031930272,0.0272542031930272,741023.6386,741162.35920212,741304.8149,4086647.7969,4087443.63656699,4088239.9861
24,160,"0","1",764.385412908,0.00787247256568671,0.00787247256568671,741515.3666,741817.217590477,742125.8969,4086413.8043,4086648.10755766,4086873.4584
