Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
LLN_1,1,LLN,LLN_1_0_0,Tell Leilan,90.0001,0,90.0002,0,0,90.0002,0,90.0002,0,0,0,0,90.0002,0,90.0001,0,0,90.0001,0,0,0,0,0,0,0,0,723066.155066667,4093173.05456667,1,90.0001,90.0002,90.0002,90.0001,90.0001,0,8.5951373544e-005,102,,,90.0002,"EBA1,EBA2,MBA,LBA,IA1",,112230
LLN_10,49,LLN,LLN_10_0_0,,0,0,0,0,0,1.73135,0,1.73135,0,0,0,0,1.73135,0,0,0,0,0,0,0,0,0,0,0,0,0,723183.249833333,4095431.84406667,1,0,1.73135,1.73135,0,0,0,7.96910171e-007,506,,,1.73135,"EBA2,MBA",,170880
LLN_106,67,LLN,LLN_106_0_0,Toueiyel,0,4.08,4.08,0,0,4.08,0,4.08,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,729549.4,4083222.5702,1,4.08,4.08,4.08,0,0,0,1.5418366506e-005,709,,,4.08,"EBA1,EBA2,MBA",,179313
LLN_108,118,LLN,LLN_108_0_0,Jalak,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,722478.0948,4084177.9132,1,0,1.5,1.5,0,0,0,0,,,,1.5,"EBA2,MBA",,177881
LLN_112,68,LLN,LLN_112_0_0,Taya,0,3.4,3.4,0,0,3.4,0,0,0,0,0,0,3.4,0,0,0,0,3.4,0,0,0,0,0,0,0,0,723918.5952,4085425.0403,1,3.4,3.4,3.4,3.4,3.4,0,1.1613194806e-005,357,,,3.4,"EBA1,EBA2,MBA,LBA,IA1",,162394
LLN_12,16,LLN,LLN_12_0_0,Awda,3.52,0,3.52,0,0,3.52,0,3.52,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,734992.3783,4092482.7708,1,3.52,3.52,3.52,0,0,0,4.498039214e-006,628,,,3.52,"EBA1,EBA2,MBA",,161059
LLN_125,71,LLN,LLN_125_0_0,Hameid,0,0,0,0,0,0,0,23,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,745412.0627,4063513.1701,1,0,23,23,0,0,0,1.6403263628e-005,580,,,23,"EBA2,MBA",,189386
LLN_133,27,LLN,LLN_133_0_0,Abu Qassayeb,0,0.3,0.3,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710637.3923,4083547.211,1,0.3,0.3,0,0,0,0,3.316740608e-006,141,,,0.3,"EBA1,EBA2",,171239
LLN_137,3,LLN,LLN_137_0_0,Barham,1.327322874,0,1.327322874,0,0,0,0,0,0,0,0,0,1.327322874,0,0,0,0,0,0,0,0,0,0,0,0,0,723751.4573,4096537.8784,1,1.327322874,1.327322874,1.327322874,0,0,0,3.216321923e-006,400,,,1.327322874,"EBA1,EBA2,MBA",,186414
LLN_15,22,LLN,LLN_15_0_0,Blaij,0,6.2,6.2,0,0,6.2,0,6.2,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,717020.4457,4089425.1511,1,6.2,6.2,6.2,0,0,0,2.0022651714e-005,26,,,6.2,"EBA1,EBA2,MBA",,196550
LLN_161,74,LLN,LLN_161_0_0,Mathlutheh Hillal,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,716057.3616,4077965.3056,1,0,1.96,1.96,1.96,0,0,0,,,,1.96,"EBA2,MBA,LBA",,181848
LLN_165,123,LLN,LLN_165_0_0,Amri Kabir,0,2,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,714313.8059,4077328.6361,1,2,2,2,0,0,0,0,,,,2,"EBA1,EBA2,MBA",,92296
LLN_166,124,LLN,LLN_166_0_0,Mathlutheh Tawila,7.5,0,7.5,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715626.0855,4077186.3801,1,7.5,7.5,0,0,0,0,2.634195947e-006,889,,,7.5,"EBA1,EBA2",,183724
LLN_169,29,LLN,LLN_169_0_0,Qasr Faris,1.5625,0,1.5625,0,0,1.5625,0,1.5625,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,720233.6999,4081932.0909,1,1.5625,1.5625,1.5625,0,0,0,0,,,,1.5625,"EBA1,EBA2,MBA",,193427
LLN_17,23,LLN,LLN_17_0_0,Kulurah,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,714724.6724,4087225.6376,1,2,2,2,0,0,0,0,,,,2,"EBA1,EBA2,MBA",,189550
LLN_18,30,LLN,LLN_18_0_0,Farsouk Kebir,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,720870.058,4082470.5346,1,0,2,2,0,0,0,4.99990007e-006,853,,,2,"EBA2,MBA",,193631
LLN_180,26,LLN,LLN_180_0_0,Ghazal,0,11.96,11.96,0,0,11.96,0,11.96,0,11.96,0,0,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,708606.3497,4084069.9172,1,11.96,11.96,11.96,0,0,0,4.44718999e-006,177,,,11.96,"EBA1,EBA2,MBA",,181143
LLN_186,75,LLN,LLN_186_0_0,Farfara,0,176,176,0,0,176,0,176,0,176,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,707967.0257,4077806.9197,1,176,176,176,176,176,0,4.6431759083e-005,776,,,176,"EBA1,EBA2,MBA,LBA,IA1",,182545
LLN_187,34,LLN,LLN_187_0_0,Doueitch,0.24,0.24,0,0,0,0.24,0,0.24,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,708528.0953,4074804.5872,1,0.24,0.24,0,0.24,0.24,0,1.078033618e-006,260,,,0.24,"EBA1,EBA2,LBA,IA1",,180053
LLN_189,28,LLN,LLN_189_0_0,Ahmed,2.25,0,2.25,0,0,2.25,0,2.25,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,709528.3978,4081186.7071,1,2.25,2.25,2.25,0,0,0,1.4709551834e-005,832,,,2.25,"EBA1,EBA2,MBA",,168658
LLN_201,129,LLN,LLN_201_0_0,Hansa,0,0,0,0,0,0,0,32.5,0,32.5,0,0,32.5,0,32.5,0,0,0,0,0,0,0,0,0,0,0,716082.2948,4055296.3737,1,0,32.5,32.5,32.5,0,0,0,,,,32.5,"EBA2,MBA,LBA",,189023
LLN_206,107,LLN,LLN_206_0_0,Ahwain,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729515.4079,4054535.038,1,0,6,0,0,0,0,0,,,,6,EBA2,,147200
LLN_220,45,LLN,LLN_220_0_0,Abra,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726591.9388,4067088.1463,1,0.6,0.6,0,0,0,0,0,,,,0.6,"EBA1,EBA2",,180355
