Site_ID,FID_1,Dataset_1,Major_ID_1,Tuna_area_1,Site_Name,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA_T,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA_FC,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y
LLN_1,1,LLN,LLN_1_0_0,84.9517861602,Tell Leilan,90.0001,0,90.0002,0,0,90.0002,0,90.0002,0,0,0,0,90.0002,0,90.0001,0,0,90.0001,0,0,0,0,0,0,0,0,723066.155066667,4093173.05456667
LLN_10,49,LLN,LLN_10_0_0,0,#N/A,0,0,0,0,0,1.73135,0,1.73135,0,0,0,0,1.73135,0,0,0,0,0,0,0,0,0,0,0,0,0,723183.249833333,4095431.84406667
LLN_100,17,LLN,LLN_100_0_0,4.31579178805,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,731767.7848,4091036.745
LLN_101,116,LLN,LLN_101_0_0,0,Abbas,0,0.78539815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729255.786,4092514.1011
LLN_102,117,LLN,LLN_102_0_0,0,Bum,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,732942.0049,4091372.2826
LLN_104,163,LLN,LLN_104_0_0,0,Magreinat West,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,2.25,0,0,0,0,0,0,0,0,721917.9549,4085700.0767
LLN_106,67,LLN,LLN_106_0_0,15.2571603461,Toueiyel,0,4.08,4.08,0,0,4.08,0,4.08,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,729549.4,4083222.5702
LLN_107,164,LLN,LLN_107_0_0,0,Hansa al-Boutha,0,0,0,0,0,0,0,0,0,0,0,0,7.08822e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,721969.8959,4085664.1175
LLN_108,118,LLN,LLN_108_0_0,0,Jalak,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,722478.0948,4084177.9132
LLN_11,165,LLN,LLN_11_0_0,0,Rehaya 3,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,3.48,0,0,0,0,0,0,0,0,721973.8914,4085600.1901
LLN_112,68,LLN,LLN_112_0_0,11.4884632894,Taya,0,3.4,3.4,0,0,3.4,0,0,0,0,0,0,3.4,0,0,0,0,3.4,0,0,0,0,0,0,0,0,723918.5952,4085425.0403
LLN_114,166,LLN,LLN_114_0_0,0,Hormor 2,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,721909.964,4085600.1901
LLN_115,69,LLN,LLN_115_0_0,0,Siha Kabira,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,717740.4857,4094161.164
LLN_118,119,LLN,LLN_118_0_0,0,Shibaniyeh,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,712552.8662,4091896.0649
LLN_12,16,LLN,LLN_12_0_0,4.44623434183,Awda,3.52,0,3.52,0,0,3.52,0,3.52,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,734992.3783,4092482.7708
LLN_120,70,LLN,LLN_120_0_0,2.12603783756,Arbat,1.08,0,1.08,0,0,1.08,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,703147.424,4096543.543
LLN_123,44,LLN,LLN_123_0_0,36.8100009372,Khodr,0,12.25,0,0,0,12.25,0,12.25,0,12.25,0,0,12.25,0,0,0,0,12.25,0,0,0,0,0,0,0,0,717465.1778,4067204.0911
LLN_124,167,LLN,LLN_124_0_0,0,East of Bagheriya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721878.0002,4085648.1357
LLN_125,71,LLN,LLN_125_0_0,16.2694152539,Hameid,0,0,0,0,0,0,0,23,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,745412.0627,4063513.1701
LLN_13,156,LLN,LLN_13_0_0,0,Gir Souar,0,5.12,5.12,0,0,5.12,0,5.12,0,5.12,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,717194.3065,4096344.1119
LLN_130,105,LLN,LLN_130_0_0,0,Daharan 2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,732245.0912,4057200.3366
LLN_132,148,LLN,LLN_132_0_0,0,Wadi near Mitaniye,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,709300.1626,4087087.6558
