"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","number","id"
"1","LLN_1",1,"LLN","LLN_1_0_0","Tell Leilan",90.0001,0,90.0002,0,0,90.0002,0,90.0002,0,0,0,0,90.0002,0,90.0001,0,0,90.0001,0,0,0,0,0,0,0,0,723066.155066667,4093173.05456667,1,90.0001,90.0002,90.0002,90.0001,90.0001,0,8.5951373544e-05,102,"",NA,90.0002,"EBA1,EBA2,MBA,LBA,IA1",NA,112230,1
"2","LLN_10",49,"LLN","LLN_10_0_0","",0,0,0,0,0,1.73135,0,1.73135,0,0,0,0,1.73135,0,0,0,0,0,0,0,0,0,0,0,0,0,723183.249833333,4095431.84406667,1,0,1.73135,1.73135,0,0,0,7.96910171e-07,506,"",NA,1.73135,"EBA2,MBA",NA,170880,2
"3","LLN_100",17,"LLN","LLN_100_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,731767.7848,4091036.745,1,0,0,1e-04,0,0,0,4.365392879e-06,876,"",NA,4.365392879e-06,"MBA",NA,174345,3
"4","LLN_102",117,"LLN","LLN_102_0_0","Bum",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,732942.0049,4091372.2826,1,0,0,0.5,0,0,0,0,NA,"",NA,0.5,"MBA",NA,185752,5
"5","LLN_106",67,"LLN","LLN_106_0_0","Toueiyel",0,4.08,4.08,0,0,4.08,0,4.08,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,729549.4,4083222.5702,1,4.08,4.08,4.08,0,0,0,1.5418366506e-05,709,"",NA,4.08,"EBA1,EBA2,MBA",NA,179313,7
"6","LLN_108",118,"LLN","LLN_108_0_0","Jalak",0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,722478.0948,4084177.9132,1,0,1.5,1.5,0,0,0,0,NA,"",NA,1.5,"EBA2,MBA",NA,177881,9
"7","LLN_112",68,"LLN","LLN_112_0_0","Taya",0,3.4,3.4,0,0,3.4,0,0,0,0,0,0,3.4,0,0,0,0,3.4,0,0,0,0,0,0,0,0,723918.5952,4085425.0403,1,3.4,3.4,3.4,3.4,3.4,0,1.1613194806e-05,357,"",NA,3.4,"EBA1,EBA2,MBA,LBA,IA1",NA,162394,11
"8","LLN_12",16,"LLN","LLN_12_0_0","Awda",3.52,0,3.52,0,0,3.52,0,3.52,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,734992.3783,4092482.7708,1,3.52,3.52,3.52,0,0,0,4.498039214e-06,628,"",NA,3.52,"EBA1,EBA2,MBA",NA,161059,15
"9","LLN_125",71,"LLN","LLN_125_0_0","Hameid",0,0,0,0,0,0,0,23,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,745412.0627,4063513.1701,1,0,23,23,0,0,0,1.6403263628e-05,580,"",NA,23,"EBA2,MBA",NA,189386,18
"10","LLN_130",105,"LLN","LLN_130_0_0","Daharan 2",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,732245.0912,4057200.3366,1,0,0,0.5,0,0,0,0,NA,"",NA,0.5,"MBA",NA,112641,20
