Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
LLN_1,1,LLN,LLN_1_0_0,Tell Leilan,90.0001,0,90.0002,0,0,90.0002,0,90.0002,0,0,0,0,90.0002,0,90.0001,0,0,90.0001,0,0,0,0,0,0,0,0,723066.155066667,4093173.05456667,1,90.0001,90.0002,90.0002,90.0001,90.0001,0,8.5951373544e-005,102,,,90.0002,"EBA1,EBA2,MBA,LBA,IA1",,112230
LLN_112,68,LLN,LLN_112_0_0,Taya,0,3.4,3.4,0,0,3.4,0,0,0,0,0,0,3.4,0,0,0,0,3.4,0,0,0,0,0,0,0,0,723918.5952,4085425.0403,1,3.4,3.4,3.4,3.4,3.4,0,1.1613194806e-005,357,,,3.4,"EBA1,EBA2,MBA,LBA,IA1",,162394
LLN_148,98,LLN,LLN_148_0_0,Gunduk Said,0,0,0,0,0,0,0,0,0,0,0,0,1.227184609,0,0,0,0,1.227184609,0,0,0,0,0,0,0,0,728477.1652,4095397.0928,1,0,0,1.227184609,1.227184609,1.227184609,0,6.738957047e-006,634,,,1.227184609,"MBA,LBA,IA1",,129382
LLN_155,120,LLN,LLN_155_0_0,Maqbara,1.44,1.44,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,1.44,0,0,0,0,0,0,0,0,735373.2813,4097069.3369,1,1.44,0,1.44,1.44,1.44,0,0,,,,1.44,"EBA1,MBA,LBA,IA1",,192444
LLN_186,75,LLN,LLN_186_0_0,Farfara,0,176,176,0,0,176,0,176,0,176,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,707967.0257,4077806.9197,1,176,176,176,176,176,0,4.6431759083e-005,776,,,176,"EBA1,EBA2,MBA,LBA,IA1",,182545
LLN_187,34,LLN,LLN_187_0_0,Doueitch,0.24,0.24,0,0,0,0.24,0,0.24,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,708528.0953,4074804.5872,1,0.24,0.24,0,0.24,0.24,0,1.078033618e-006,260,,,0.24,"EBA1,EBA2,LBA,IA1",,180053
LLN_212,48,LLN,LLN_212_0_0,al-Andalus,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,0,0,64,0,0,0,0,0,0,0,0,733816.8245,4056171.4814,1,0,0,64,64,64,0,4.4428408378e-005,238,,,64,"MBA,LBA,IA1",,179674
LLN_223,47,LLN,LLN_223_0_0,Sultan et-Tellul,0,7.8,0,0,0,0,0,7.8,0,0,0,0,7.8,0,7.8,0,0,7.8,0,0,0,0,0,0,0,0,730368.3696,4063486.1668,1,7.8,7.8,7.8,7.8,7.8,0,1.6658734782e-005,729,,,7.8,"EBA1,EBA2,MBA,LBA,IA1",,196364
LLN_231,109,LLN,LLN_231_0_0,Aweinat ibn Harshan,0,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0,0,0,11.04,0,0,0,0,0,0,0,0,718243.8019,4060630.3297,1,0,0,11.04,11.04,11.04,0,0,,,,11.04,"MBA,LBA,IA1",,181291
LLN_241,81,LLN,LLN_241_0_0,Dumdum,0,0,0,0,0,27.52537772,0,27.52537772,0,0,0,0,27.52537772,0,27.52537772,0,0,27.52537772,0,0,0,0,0,0,0,0,706722.1879,4053281.154,1,0,27.52537772,27.52537772,27.52537772,27.52537772,0,7.493829015e-006,599,,,27.52537772,"EBA2,MBA,LBA,IA1",,129799
