"","id","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","sizeCat"
"1","1","LLN_1",1,"LLN","LLN_1_0_0","Tell Leilan",90.0001,0,90.0002,0,0,90.0002,0,90.0002,0,0,0,0,90.0002,0,90.0001,0,0,90.0001,0,0,0,0,0,0,0,0,723066.155066667,4093173.05456667,90.0002,90.0001,90.0002,90.0002,90.0001,90.0001,0,8.5951373544e-05,102,"",NA,90.0002,"EBA1,EBA2,MBA,LBA,IA1",NA,6
"2","10","LLN_11",165,"LLN","LLN_11_0_0","Rehaya 3",0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,3.48,0,0,0,0,0,0,0,0,721973.8914,4085600.1901,3.48,0,0,3.48,3.48,3.48,0,0,NA,"",NA,3.48,"MBA,LBA,IA1",NA,2
"3","100","LLN_267",138,"LLN","LLN_267_0_0","Hissu Ratla",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,739111.8191,4093192.6682,1,0,0,1,0,0,0,0,NA,"",NA,1,"MBA",NA,1
"4","101","LLN_27",139,"LLN","LLN_27_0_0","",0,0,0,0,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,734450.7486,4079593.0818,NA,0,1e-04,1e-04,0,0,0,0,NA,"",NA,2.1,"EBA2,MBA",NA,8
"5","102","LLN_270",140,"LLN","LLN_270_0_0","Tubiz",0,0,0,0,0,0,0,4.06,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,731508.2596,4079746.8855,4.06,0,4.06,4.06,0,0,0,0,NA,"",NA,4.06,"EBA2,MBA",NA,2
"6","103","LLN_271",83,"LLN","LLN_271_0_0","Abu Kabira West",0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,732284.7724,4078740.2134,0.95,0,0,0.95,0,0,0,2.41777043e-06,798,"",NA,0.95,"MBA",NA,1
"7","104","LLN_272",84,"LLN","LLN_272_0_0","(Tell Abu Qbara)",0,0,0,0,0,0,0,1e-04,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,733421.784,4078444.2742,1.1568446004e-05,0,1e-04,1e-04,1e-04,0,0,1.1568446004e-05,666,"",NA,1.1568446004e-05,"EBA2,MBA,LBA",NA,1
"8","105","LLN_273",36,"LLN","LLN_273_0_0","Tahin",0,0,0,0,0,8.32,0,8.32,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,728981.3292,4074340.6605,8.32,0,8.32,8.32,0,0,0,7.468759739e-06,531,"",NA,8.32,"EBA2,MBA",NA,3
"9","106","LLN_276",37,"LLN","LLN_276_0_0","Atwiyeh",0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,730862.528,4076435.082,5.51,0,0,5.51,0,0,0,6.44446048e-06,521,"",NA,5.51,"MBA",NA,3
"10","107","LLN_277",141,"LLN","LLN_277_0_0","Hbeth",0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,727536.1086,4075978.5604,3.6,0,0,3.6,0,0,0,0,NA,"",NA,3.6,"MBA",NA,2
"11","108","LLN_279",85,"LLN","LLN_279_0_0","Abtakh Fowqani",0,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,0,725736.4474,4077364.3441,6,0,6,6,6,6,0,1.3685075777e-05,23,"",NA,6,"EBA2,MBA,LBA,IA1",NA,3
"12","109","LLN_28",180,"LLN","LLN_28_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,722113.7326,4085644.1402,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
"13","11","LLN_112",68,"LLN","LLN_112_0_0","Taya",0,3.4,3.4,0,0,3.4,0,0,0,0,0,0,3.4,0,0,0,0,3.4,0,0,0,0,0,0,0,0,723918.5952,4085425.0403,3.4,3.4,3.4,3.4,3.4,3.4,0,1.1613194806e-05,357,"",NA,3.4,"EBA1,EBA2,MBA,LBA,IA1",NA,2
"14","110","LLN_280",86,"LLN","LLN_280_0_0","Umm Adam",0,0,0,0,0,0,0,0,0,0,0,0,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,736539.3816,4077850.4101,18.24,0,0,18.24,0,0,0,0,NA,"",NA,18.24,"MBA",NA,4
"15","111","LLN_282",39,"LLN","LLN_282_0_0","(Tell Sa'adun)",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,734092.7446,4075732.0785,6.310555118e-06,0,0,1e-04,1e-04,0,0,6.310555118e-06,786,"",NA,6.310555118e-06,"MBA,LBA",NA,1
"16","112","LLN_283",112,"LLN","LLN_283_0_0","Abu Batakh",0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,1.32,0,0,1.32,0,0,0,0,0,0,0,0,730465.1842,4073801.81,1.32,0,0,1.32,1.32,1.32,0,0,NA,"",NA,1.32,"MBA,LBA,IA1",NA,2
"17","113","LLN_285",111,"LLN","LLN_285_0_0","Wadahiya",0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,2.24,0,0,2.24,0,0,0,0,0,0,0,0,732535.6927,4074029.6903,2.24,0,0,2.24,2.24,2.24,0,3.421621767e-06,753,"",NA,2.24,"MBA,LBA,IA1",NA,2
"18","114","LLN_292",33,"LLN","LLN_292_0_0","Aweinat el-Amrin 3",0,0,0,0,0,0,0,2.72,0,0,0,0,2.72,0,2.72,0,0,2.72,0,0,0,0,0,0,0,0,719424.4392,4079018.0852,2.72,0,2.72,2.72,2.72,2.72,0,1.3562129941e-05,703,"",NA,2.72,"EBA2,MBA,LBA,IA1",NA,2
